title,date,keywords,keyphrase,popular words
DesignOps - Small team starter guide,5 Sept 2023,"['designops', 'organisation', 'team', 'collaborator', 'agile']","['team designops', 'design teams', 'designops small', 'designops initiatives']","[('team', 89), ('design', 79), ('designops', 41), ('product', 31), ('work', 28), ('way', 22), ('designer', 21), ('model', 20), ('define', 18), ('process', 18)]"
Navigating the European Accessibility Act,30 Aug 2023,"['accessibility', 'disability', 'disability', 'accessible', 'compliance']","['european accessibility', 'provide accessibility', 'accessibility concerning', 'digital accessibility']","[('accessibility', 23), ('service', 20), ('product', 16), ('digital', 10), ('need', 10), ('content', 8), ('affect', 6), ('accessible', 6), ('company', 5), ('design', 5)]"
"Practical tips for facilitating high-quality, strategic, and data-driven decisions in management meetings",21 Aug 2023,"['meeting', 'manage', 'strategy', 'decision', 'datum']","['management meetings', 'data managing', 'strategic data', 'strategic discussion']","[('decision', 40), ('group', 22), ('option', 18), ('people', 17), ('meeting', 15), ('method', 15), ('information', 13), ('datum', 13), ('make', 13), ('time', 13)]"
Better late than never – Sander’s shift from consulting to programming,11 Aug 2023,"['sand', 'employable', 'consult', 'interview', 'bootcamp']","['late sander', 'sander nobel', 'true sander', 'consultant stockholm']","[('work', 9), ('good', 9), ('time', 8), ('futurice', 7), ('need', 7), ('code', 6), ('people', 6), ('live', 5), ('learn', 5), ('software', 4)]"
Car companion apps - the tip of the automotive iceberg,21 Jul 2023,"['app', 'automotive', 'car', 'driver', 'companion']","['car apps', 'vehicles apps', 'apps cars', 'car app']","[('app', 39), ('car', 27), ('digital', 13), ('oem', 11), ('user', 11), ('driver', 8), ('new', 8), ('level', 7), ('vehicle', 7), ('companion', 6)]"
Unlock data-informed conversations and decision-making with text mining,7 Jul 2023,"['text', 'conversation', 'tool', 'mining', 'research']","['mining text', 'text mining', 'conversations findings', 'informed conversations']","[('datum', 28), ('text', 18), ('mining', 18), ('learn', 17), ('industry', 12), ('focus', 12), ('company', 11), ('question', 10), ('insight', 9), ('gain', 9)]"
"How data-powered ecosystems can deliver for all: patients, partners and HCPs ",4 Jul 2023,"['service', 'business', 'interoperability', 'healthcare', 'futureop']","['service reinvented', 'futureops medicalendar', 'data ecosystem', 'digital ecosystem']","[('patient', 21), ('jrs', 21), ('ecosystem', 17), ('futureops', 11), ('data', 8), ('datum', 8), ('digital', 7), ('partner', 6), ('healthcare', 6), ('business', 6)]"
Twin transition survey: Impact and actions for German business,23 Jun 2023,"['sustainability', 'transition', 'digitalization', 'innovation', 'automotive']","['digital sustainability', 'sustainability digital', 'digitalization sustainability', 'german businesses']","[('sustainability', 28), ('business', 26), ('digital', 22), ('company', 18), ('twin', 13), ('transition', 13), ('resource', 13), ('german', 11), ('sustainable', 11), ('performance', 10)]"
What do German executives see as the biggest opportunities and challenges in twin transition?,19 Jun 2023,"['digitalization', 'innovation', 'transition', 'sustainability', 'twin']","['digitalization sustainability', 'sustainability digitalization', 'germany twin', 'digitalization strategies']","[('twin', 23), ('transition', 23), ('need', 13), ('respondent', 13), ('company', 12), ('opportunity', 10), ('challenge', 10), ('survey', 9), ('change', 8), ('sustainability', 7)]"
Driving excellence in customer service,9 Jun 2023,"['automotive', 'analytic', 'customer', 'automation', 'incremental']","['analytics automotive', 'analytics operations', 'service automotive', 'automotive operations']","[('customer', 20), ('datum', 19), ('service', 14), ('drive', 13), ('event', 12), ('analytic', 11), ('business', 9), (' ', 9), ('organization', 9), ('real', 8)]"
How to participate in adaptive strategy?,7 Jun 2023,"['strategy', 'adaptive', 'strategic', 'leadership', 'stage']","['adaptive strategy', 'improving strategy', 'strategy implementation', 'participate adaptive']","[('strategy', 29), ('people', 20), ('process', 9), ('organization', 9), ('time', 9), ('engage', 8), ('customer', 8), ('execution', 8), ('level', 8), ('work', 8)]"
Adding value with digitized workshops – three steps to after sales success,6 Jun 2023,"['automotive', 'ev', 'vehicle', 'aftermarket', 'inefficiency']","['ev shortage', 'automotive aftermarket', 'automotive industry', 'vehicles ev']","[('process', 20), ('workshop', 11), ('datum', 11), ('digital', 10), ('vehicle', 10), ('improve', 10), ('create', 8), ('transparency', 8), ('new', 8), ('employee', 8)]"
Discover the potential of IoT solutions,1 Jun 2023,"['iot', 'sensor', 'monitor', 'industrial', 'machinery']","['industrial iot', 'things iot', 'support iot', 'iot enabled']","[('iot', 26), ('solution', 16), ('datum', 15), ('industrial', 14), ('company', 10), ('operation', 8), ('enable', 8), ('digital', 8), ('device', 8), ('start', 7)]"
"Generative AI tools at Futurice, May 2023",29 May 2023,"['tool', 'automate', 'codebase', 'apis', 'development']","['ai tools', 'tools currently', 'code editors', 'tools software']","[('tool', 18), ('ai', 11), ('thing', 8), ('generative', 7), ('use', 7), ('world', 6), ('development', 6), ('new', 5), ('service', 5), ('introduce', 5)]"
Gocurrency,22 May 2023,"['golang', 'concurrency', 'concurrent', 'goroutine', 'gocurrency']","['concurrency golang', 'golang concurrency', 'concurrency goroutine', 'threads goroutines']","[('channel', 53), ('\n', 31), ('value', 27), ('goroutine', 26), ('goroutines', 21), ('waitgroup', 17), ('buffer', 15), ('wait', 15), ('time', 15), ('block', 13)]"
Are German companies ready for twin transition?,22 May 2023,"['digitalization', 'transition', 'sustainability', 'automotive', 'twin']","['german business', 'digitalization sustainability', 'sustainability digitalization', 'germany digitally']","[('twin', 10), ('transition', 10), ('sustainability', 9), ('company', 7), ('digital', 7), ('german', 6), ('survey', 5), ('germany', 5), ('increasingly', 5), ('benefit', 5)]"
The rise of the software defined vehicle - what are they and why do they matter?,19 May 2023,"['sdv', 'automotive', 'vehicle', 'sdvs', 'software']","['vehicles sdvs', 'defined vehicles', 'vehicle software', 'car sdvs']","[('sdv', 39), ('vehicle', 22), ('software', 18), ('car', 13), ('model', 13), ('e', 11), ('new', 10), ('datum', 10), ('system', 9), ('experience', 9)]"
