link,keywords,keyphrase,popular words
https://futurice.com/blog/designops-small-team-starter-guide,"['designops', 'organisation', 'team', 'collaborator', 'agile']","['team designops', 'design teams', 'designops small', 'designops initiatives']","[('team', 89), ('design', 79), ('designops', 41), ('product', 31), ('work', 28), ('way', 22), ('designer', 21), ('model', 20), ('define', 18), ('process', 18)]"
https://futurice.com/blog/european-accessibility-act,"['accessibility', 'disability', 'disability', 'accessible', 'compliance']","['european accessibility', 'provide accessibility', 'accessibility concerning', 'digital accessibility']","[('accessibility', 23), ('service', 20), ('product', 16), ('digital', 10), ('need', 10), ('content', 8), ('affect', 6), ('accessible', 6), ('company', 5), ('design', 5)]"
https://futurice.com/blog/group-decision-making-challenges,"['meeting', 'manage', 'strategy', 'decision', 'datum']","['management meetings', 'data managing', 'strategic data', 'strategic discussion']","[('decision', 40), ('group', 22), ('option', 18), ('people', 17), ('meeting', 15), ('method', 15), ('information', 13), ('datum', 13), ('make', 13), ('time', 13)]"
https://futurice.com/blog/futustories-from-consulting-to-programming,"['sand', 'employable', 'consult', 'interview', 'bootcamp']","['late sander', 'sander nobel', 'true sander', 'consultant stockholm']","[('work', 9), ('good', 9), ('time', 8), ('futurice', 7), ('need', 7), ('code', 6), ('people', 6), ('live', 5), ('learn', 5), ('software', 4)]"
https://futurice.com/blog/car-companion-apps,"['app', 'automotive', 'car', 'driver', 'companion']","['car apps', 'vehicles apps', 'apps cars', 'car app']","[('app', 39), ('car', 27), ('digital', 13), ('oem', 11), ('user', 11), ('driver', 8), ('new', 8), ('level', 7), ('vehicle', 7), ('companion', 6)]"
https://futurice.com/blog/text-mining-data-enabled-decision-making,"['text', 'conversation', 'tool', 'mining', 'research']","['mining text', 'text mining', 'conversations findings', 'informed conversations']","[('datum', 28), ('text', 18), ('mining', 18), ('learn', 17), ('industry', 12), ('focus', 12), ('company', 11), ('question', 10), ('insight', 9), ('gain', 9)]"
https://futurice.com/blog/how-data-powered-ecosystems-can-deliver-for-all,"['service', 'business', 'interoperability', 'healthcare', 'futureop']","['service reinvented', 'futureops medicalendar', 'data ecosystem', 'digital ecosystem']","[('patient', 21), ('jrs', 21), ('ecosystem', 17), ('futureops', 11), ('data', 8), ('datum', 8), ('digital', 7), ('partner', 6), ('healthcare', 6), ('business', 6)]"
https://futurice.com/blog/twin-transition-impact-and-actions-for-german-business,"['sustainability', 'transition', 'digitalization', 'innovation', 'automotive']","['digital sustainability', 'sustainability digital', 'digitalization sustainability', 'german businesses']","[('sustainability', 28), ('business', 26), ('digital', 22), ('company', 18), ('twin', 13), ('transition', 13), ('resource', 13), ('german', 11), ('sustainable', 11), ('performance', 10)]"
https://futurice.com/blog/germany-twin-transition-challenges-opportunities-findings,"['digitalization', 'innovation', 'transition', 'sustainability', 'twin']","['digitalization sustainability', 'sustainability digitalization', 'germany twin', 'digitalization strategies']","[('twin', 23), ('transition', 23), ('need', 13), ('respondent', 13), ('company', 12), ('opportunity', 10), ('challenge', 10), ('survey', 9), ('change', 8), ('sustainability', 7)]"
https://futurice.com/blog/data-enhanced-automotive-customer-service,"['automotive', 'analytic', 'customer', 'automation', 'incremental']","['analytics automotive', 'analytics operations', 'service automotive', 'automotive operations']","[('customer', 20), ('datum', 19), ('service', 14), ('drive', 13), ('event', 12), ('analytic', 11), ('business', 9), (' ', 9), ('organization', 9), ('real', 8)]"
https://futurice.com/blog/participate-in-strategy,"['strategy', 'adaptive', 'strategic', 'leadership', 'stage']","['adaptive strategy', 'improving strategy', 'strategy implementation', 'participate adaptive']","[('strategy', 29), ('people', 20), ('process', 9), ('organization', 9), ('time', 9), ('engage', 8), ('customer', 8), ('execution', 8), ('level', 8), ('work', 8)]"
https://futurice.com/blog/three-steps-to-after-sales-success,"['automotive', 'ev', 'vehicle', 'aftermarket', 'inefficiency']","['ev shortage', 'automotive aftermarket', 'automotive industry', 'vehicles ev']","[('process', 20), ('workshop', 11), ('datum', 11), ('digital', 10), ('vehicle', 10), ('improve', 10), ('create', 8), ('transparency', 8), ('new', 8), ('employee', 8)]"
https://futurice.com/blog/potential-of-industrial-iot,"['iot', 'sensor', 'monitor', 'industrial', 'machinery']","['industrial iot', 'things iot', 'support iot', 'iot enabled']","[('iot', 26), ('solution', 16), ('datum', 15), ('industrial', 14), ('company', 10), ('operation', 8), ('enable', 8), ('digital', 8), ('device', 8), ('start', 7)]"
https://futurice.com/blog/generative-ai-at-futurice-software-development,"['tool', 'automate', 'codebase', 'apis', 'development']","['ai tools', 'tools currently', 'code editors', 'tools software']","[('tool', 18), ('ai', 11), ('thing', 8), ('generative', 7), ('use', 7), ('world', 6), ('development', 6), ('new', 5), ('service', 5), ('introduce', 5)]"
https://futurice.com/blog/gocurrency,"['golang', 'concurrency', 'concurrent', 'goroutine', 'gocurrency']","['concurrency golang', 'golang concurrency', 'concurrency goroutine', 'threads goroutines']","[('channel', 53), ('\n', 31), ('value', 27), ('goroutine', 26), ('goroutines', 21), ('waitgroup', 17), ('buffer', 15), ('wait', 15), ('time', 15), ('block', 13)]"
https://futurice.com/blog/german-companies-twin-transition-survey,"['digitalization', 'transition', 'sustainability', 'automotive', 'twin']","['german business', 'digitalization sustainability', 'sustainability digitalization', 'germany digitally']","[('twin', 10), ('transition', 10), ('sustainability', 9), ('company', 7), ('digital', 7), ('german', 6), ('survey', 5), ('germany', 5), ('increasingly', 5), ('benefit', 5)]"
https://futurice.com/blog/rise-of-software-defined-vehicle,"['sdv', 'automotive', 'vehicle', 'sdvs', 'software']","['vehicles sdvs', 'defined vehicles', 'vehicle software', 'car sdvs']","[('sdv', 39), ('vehicle', 22), ('software', 18), ('car', 13), ('model', 13), ('e', 11), ('new', 10), ('datum', 10), ('system', 9), ('experience', 9)]"
https://futurice.com/blog/digital-data-sustainable-business-models,"['organisation', 'business', 'stakeholder', 'sustainable', 'digital']","['organisations futurice', 'business fundamentally', 'business models', 'better organisations']","[('business', 19), ('create', 15), ('model', 15), ('impact', 12), ('digital', 9), ('organisation', 9), ('product', 9), ('people', 7), ('opportunity', 7), ('deliver', 7)]"
https://futurice.com/blog/co-adaptive-capabilities,"['adaptive', 'strategy', 'strategy', 'strategic', 'organizational']","['adaptive strategy', 'adaptive strategic', 'organisation adaptive', 'strategy adaptation']","[('people', 21), ('need', 20), ('organization', 19), ('co', 19), ('adaptive', 19), ('strategy', 19), ('datum', 16), ('decision', 14), ('work', 12), ('change', 11)]"
https://futurice.com/blog/pattern-library-playbook,"['design', 'prototype', 'workflow', 'documenting', 'toolset']","['design processes', 'design systems', 'design patterns', 'design tools']","[('library', 134), ('pattern', 102), ('design', 90), ('team', 61), ('component', 54), ('create', 41), (' ', 41), ('product', 34), ('work', 31), ('element', 27)]"
https://futurice.com/blog/quantum-computing-workshops-h1-2023,"['quantum', 'workshop', 'compute', 'azure', 'futurice']","['microsoft quantum', 'quantum software', 'quantum computing', 'build quantum']","[('quantum', 24), ('workshop', 11), ('computing', 7), ('hardware', 6), ('today', 6), ('futurice', 3), ('workshops', 3), ('registration', 3), ('microsoft', 3), ('business', 3)]"
https://futurice.com/blog/futustories-nine-things-that-make-me-happy,"['designer', 'conversation', 'hobby', 'perspective', 'futustorie']","['business designer', 'business design', 'thoughtful designs', 'happy intellectual']","[('like', 10), ('happy', 9), ('    ', 9), ('design', 8), ('thing', 7), ('make', 7), ('work', 7), ('food', 7), ('find', 6), ('world', 6)]"
https://futurice.com/blog/co-adaptive-strategy,"['adaptive', 'strategic', 'approach', 'organizational', 'facilitator']","['strategy adaptive', 'adaptive strategy', 'adaptive capabilities', 'approach adaptive']","[('strategy', 32), ('co', 24), ('adaptive', 20), ('approach', 20), ('datum', 11), ('people', 9), ('need', 9), ('create', 8), ('business', 7), ('work', 7)]"
https://futurice.com/blog/agile-methodology,"['agile', 'innovate', 'product', 'launch', 'stage']","['agile product', 'discovery agile', 'product development', 'product discovery']","[('product', 44), ('agile', 24), ('discovery', 15), ('customer', 14), ('development', 14), ('organization', 13), ('process', 13), ('market', 12), ('methodology', 12), ('approach', 11)]"
https://futurice.com/blog/uncovering-product-discovery,"['innovate', 'product', 'discovery', 'technology', 'prototype']","['product discovery', 'discovery product', 'product development', 'product mindset']","[('product', 58), ('discovery', 25), ('business', 15), ('build', 12), ('user', 10), ('vision', 10), ('need', 9), ('customer', 9), ('problem', 8), ('\n', 8)]"
https://futurice.com/blog/stockholm-culture,"['trust', 'transparency', 'stockholm', 'workplace', 'culture']","['transparency stockholm', 'trust transparency', 'culture trust', 'trust care']","[('trust', 7), ('stockholm', 5), ('work', 5), ('culture', 4), ('diverse', 4), ('people', 4), ('good', 4), ('futurice', 4), ('sweden', 4), ('care', 3)]"
https://futurice.com/blog/how-data-powered-ecosystems-can-transform-customer-relationships,"['ecosystem', 'organization', 'business', 'service', 'competitor']","['products ecosystem', 'ecosystems transform', 'use ecosystems', 'opportunities ecosystems']","[('ecosystem', 27), ('patient', 22), ('jrs', 17), ('healthcare', 13), ('provide', 11), ('model', 11), ('datum', 11), ('business', 9), ('platform', 9), ('time', 9)]"
https://futurice.com/blog/steering-and-measuring-the-success-of-product,"['product', 'agile', 'success', 'development', 'digital']","['product success', 'product development', 'agile product', 'success product']","[('product', 44), ('measure', 24), ('success', 19), ('company', 17), ('change', 16), ('business', 14), ('strategic', 13), ('team', 12), ('strategy', 11), ('level', 11)]"
https://futurice.com/blog/martta-riihimaki-joins-futurice-sweden-as-managing-director,"['martta', 'futurice', 'stockholm', 'ceo', 'digital']","['futurice sweden', 'sweden ceo', 'director martta', 'business sweden']","[('sweden', 10), ('martta', 8), ('futurice', 8), ('business', 5), ('director', 4), ('world', 4), ('digital', 4), ('riihimäki', 3), ('managing', 3), ('sail', 3)]"
https://futurice.com/blog/futustories-making-an-impact-both-at-work-and-after,"['futurice', 'service', 'designer', 'organisation', 'perspective']","['service designer', 'experienced futurice', 'futurice empowering', 'employee futurice']","[('work', 22), ('people', 12), ('design', 11), ('futurice', 9), ('service', 8), ('future', 7), ('company', 6), ('like', 6), ('need', 5), ('lot', 5)]"
https://futurice.com/blog/leading-complexity-building-great-products,"['agile', 'product', 'development', 'cultural', 'success']","['agile product', 'product development', 'product management', 'product organisations']","[('product', 29), ('team', 27), ('process', 13), ('work', 13), ('customer', 13), ('organization', 11), ('company', 10), ('people', 10), ('great', 9), ('focus', 9)]"
https://futurice.com/blog/playful-design,"['playful', 'playfulness', 'creativity', 'design', 'gamification']","['design playfulness', 'playful design', 'processes playful', 'business playfulness']","[('design', 31), ('playful', 29), ('fun', 20), ('user', 19), ('play', 15), ('product', 11), ('goal', 8), ('idea', 7), ('solution', 7), ('engagement', 7)]"
https://futurice.com/blog/impactful-product-management,"['agile', 'product', 'impactful', 'manage', 'capability']","['product management', 'impactful product', 'agile product', 'product development']","[('product', 63), ('management', 28), ('digital', 18), ('organization', 12), ('change', 12), ('company', 11), ('development', 10), ('business', 10), ('way', 10), ('focus', 9)]"
https://futurice.com/blog/agile-and-sustainable,"['agile', 'sustainability', 'outcome', 'strategy', 'impactful']","['agile sustainable', 'digital agile', 'enabling agile', 'agile organizations']","[('organization', 11), ('customer', 11), ('sustainable', 8), ('business', 8), ('outcome', 8), ('focus', 8), ('digital', 8), ('value', 7), ('need', 6), ('product', 6)]"
https://futurice.com/blog/ten-benefits-of-sustainable-business,"['sustainability', 'sustainable', 'environmental', 'ecosystem', 'business']","['sustainable transformations', 'transformation sustainability', 'sustainable business', 'sustainability viable']","[('business', 18), ('sustainability', 18), ('company', 9), ('sustainable', 8), ('come', 8), ('transformation', 6), ('model', 6), ('industrial', 6), ('work', 6), ('unsustainable', 6)]"
https://futurice.com/blog/futustories-meet-tech-lead-johan,"['consultant', 'expertise', 'skill', 'tech', 'opportunity']","['technical opportunities', 'opportunities skill', 'skills ideas', 'areas expertise']","[('opportunity', 9), ('people', 9), ('team', 6), ('work', 6), ('good', 6), ('way', 6), ('business', 5), ('right', 5), ('find', 5), ('lot', 5)]"
https://futurice.com/blog/the-new-futurice-culture-handbook,"['futurice', 'futuricean', 'culture', 'futufolklore', 'practice']","['futurice culture', 'experience futurice', 'stories futuriceans', 'culture handbook']","[('culture', 21), ('handbook', 13), ('futurice', 9), ('2.0', 7), ('story', 6), ('example', 4), ('futuriceans', 4), ('company', 4), ('value', 4), ('work', 4)]"
https://futurice.com/blog/futustroies-futurice-henry-burnetts-story,"['futurice', 'literature', 'innovation', 'tech', 'health']","['story futurice', 'business futurice', 'working futurice', 'futurice health']","[('futurice', 11), ('health', 9), ('work', 6), ('product', 6), ('story', 5), ('role', 5), ('different', 5), ('company', 5), ('henry', 4), ('lot', 4)]"
https://futurice.com/blog/brand-evolution-internal-comms-learning-journey,"['brand', 'brand', 'marketing', 'ownership', 'evolve']","['brand evolution', 'brand emotional', 'managing brand', 'brand strategy']","[('brand', 45), ('evolution', 16), ('people', 16), ('process', 15), ('launch', 10), ('company', 9), ('asset', 9), ('use', 8), ('work', 7), ('start', 6)]"
https://futurice.com/blog/niklas-nordstrom-appointed-as-futurice-group-cfo,"['cfo', 'nordström', 'company', 'futurice', 'niklas']","['company futurice', 'cfo niklas', 'cfo nasdaq', 'futurice finance']","[('futurice', 11), ('company', 10), ('niklas', 8), ('group', 6), ('strategy', 6), ('cfo', 5), ('growth', 5), ('oyj', 5), ('new', 4), ('nordström', 4)]"
https://futurice.com/blog/microsoft-azure-immersion-workshops-h1-2023,"['azure', 'workshop', 'workshop', 'ai', 'analytic']","['workshops azure', 'ai azure', 'azure ai', 'learn azure']","[('azure', 20), ('|', 14), ('workshop', 13), ('ai', 9), ('registration', 8), ('9:30', 7), ('13:30', 7), ('helsinki', 7), ('close', 6), ('analytics', 5)]"
https://futurice.com/blog/digital-transformation-resilience,"['digitally', 'maturity', 'digital', 'innovation', 'organizational']","['digital maturity', 'maturity digital', 'digital capabilities', 'digital strategy']","[('digital', 36), ('transformation', 16), ('company', 13), ('maturity', 13), ('value', 12), ('organization', 12), ('process', 9), ('create', 8), ('customer', 8), ('business', 6)]"
https://futurice.com/blog/tech-trends-for-2023-and-beyond,"['tech', 'technology', 'development', 'trend', '2023']","['tech trends', 'technology trends', 'tech 2023', 'technology google']","[('tech', 15), ('technology', 15), ('platform', 15), ('thing', 13), ('future', 12), ('trend', 11), ('like', 11), ('code', 9), ('time', 8), ('list', 8)]"
https://futurice.com/blog/time-to-value,"['value', 'optimize', 'market', 'project', 'advantage']","['value focused', 'building value', 'value philosophy', 'value customers']","[('value', 32), ('time', 15), ('customer', 14), ('create', 13), ('product', 11), ('outcome', 10), ('project', 10), ('focus', 8), ('help', 8), ('market', 7)]"
https://futurice.com/blog/futustories-eight-things-ive-learned,"['community', 'community', 'motive', 'collaboration', 'opportunity']","['participate communities', 'build community', 'gain communities', 'communities create']","[('community', 26), ('people', 18), ('group', 6), ('thing', 5), ('learn', 5), ('need', 5), ('business', 5), ('important', 4), ('work', 4), ('city', 4)]"
https://futurice.com/blog/future-supply-chain-management,"['logistic', 'ai', 'source', 'inventory', 'analytic']","['ai supply', 'supply chain', 'supply chains', 'management ai']","[('datum', 39), ('chain', 36), ('supply', 35), ('management', 33), ('company', 27), ('production', 24), ('improve', 21), ('ai', 19), ('solution', 18), ('digital', 17)]"
https://futurice.com/blog/modern-managed-services,"['service', 'externalize', 'manage', 'provider', 'efficiency']","['managed services', 'managing services', 'clouds services', 'externalizing responsibilities']","[('service', 36), ('business', 15), ('manage', 14), ('team', 12), ('value', 10), ('system', 10), ('measure', 10), ('help', 9), ('end', 9), ('modern', 8)]"
https://futurice.com/blog/futustories-meet-daniel-who-is-enjoying-the-variety-of-a-consultancy,"['developer', 'challenge', 'expertise', 'client', 'futurice']","['developer daniel', 'software developer', 'resolving challenges', 'dev work']","[('work', 10), ('like', 7), ('challenge', 6), ('people', 6), ('year', 5), ('futurice', 5), ('enjoy', 5), ('get', 5), ('thing', 5), ('move', 4)]"
https://futurice.com/blog/operational-excellence-in-healthcare,"['excellence', 'operational', 'healthcare', 'performance', 'clinical']","['operational excellence', 'excellence operational', 'healthcare operational', 'excellence healthcare']","[('healthcare', 16), ('operational', 16), ('excellence', 16), ('organization', 13), ('datum', 11), ('company', 10), ('mean', 6), ('look', 6), ('leader', 6), ('connect', 5)]"
https://futurice.com/blog/best-practices-machine-learning-projects,"['project', 'productionise', 'learning', 'development', 'business']","['ml projects', 'projects ml', 'ml development', 'development ml']","[('project', 53), ('business', 39), ('solution', 37), ('datum', 29), ('ml', 29), ('machine', 27), ('value', 26), ('learning', 23), ('case', 23), ('new', 17)]"
